"縣市","行政區域","納稅單位","綜合所得總額","平均數","中位數","第一分位數","第三分位數","標準差","變異係數"
"台北市","松山區吉仁里",1430,1863526,1303,802,420,1586,1978.83,151.85
"台北市","松山區吉祥里",3179,4162350,1309,747,384,1463,5445.66,415.91
"台北市","松山區介壽里",1574,2314692,1471,856,425,1763,2176.15,147.98
"台北市","松山區精忠里",1535,2829329,1843,908,422,1807,7593.1,411.95
"台北市","松山區龍田里",3589,5147078,1434,983,452,1854,1772.56,123.6
"台北市","松山區美仁里",1229,1811041,1474,853,420,1726,2099.79,142.5
"台北市","松山區民福里",2285,2438365,1067,698,367,1362,1553.55,145.58
"台北市","松山區民有里",3475,5833634,1679,782,390,1673,5372.49,320.03
"台北市","松山區鵬程里",1856,2204781,1188,746,389,1476,1384.15,116.52
"台北市","松山區三民里",2533,3491667,1378,769,394,1558,3348.61,242.92
"台北市","松山區松基里",1434,2609069,1819,802,409,1733,7416.49,407.63
"台北市","松山區新東里",1787,1928806,1079,722,384,1332,1290.17,119.53
"台北市","松山區新聚里",2885,3210167,1113,705,389,1332,1764.81,158.6
"台北市","松山區新益里",1735,1827251,1053,723,374,1310,1332.35,126.51
"台北市","松山區中華里",2340,5724196,2446,950,458,2029,18802.9,768.65
"台北市","松山區中崙里",1429,1745961,1222,803,420,1497,1493.13,122.21
"台北市","松山區中正里",3459,6097380,1763,990,478,1898,4290.76,243.41
"台北市","松山區莊敬里",1764,1610106,913,682,376,1208,819.58,89.79
"台北市","松山區自強里",3081,3987047,1294,800,394,1560,2796.03,216.06
"台北市","萬華區保德里",1030,1026537,997,603,350,1108,1919.95,192.64
"台北市","萬華區菜園里",1812,1634391,902,609,342,1063,1315.52,145.85
"台北市","萬華區頂碩里",2271,1948508,858,585,350,1037,1187.54,138.41
"台北市","萬華區福星里",1579,1540350,976,618,351,1087,1836.94,188.3
"台北市","萬華區福音里",1143,1392460,1218,588,337,1016,8562.23,702.83
"台北市","萬華區富福里",1463,1432199,979,605,333,1073,1760.14,179.8
"台北市","萬華區富民里",1479,1166184,788,577,325,1001,782.99,99.3
"台北市","萬華區和德里",1665,1186518,713,524,327,878,676.52,94.93
"台北市","萬華區和平里",1880,1342892,714,549,331,911,616.1,86.25
"台北市","萬華區華江里",2451,1866593,762,554,320,928,778.5,102.22
"台北市","萬華區華中里",1785,1460083,818,588,356,1037,909.45,111.18
"台北市","萬華區錦德里",1607,1225019,762,554,335,974,691.02,90.65
"台北市","萬華區凌霄里",1027,775160,755,567,342,951,668.91,88.62
"台北市","萬華區柳鄉里",1431,1035417,724,528,308,918,902.81,124.77
"台北市","萬華區綠堤里",1035,691395,668,527,321,844,592.28,88.66
"台北市","萬華區銘德里",1415,1138568,805,572,338,976,786.99,97.81
"台北市","萬華區青山里",1533,1248261,814,556,315,958,997.23,122.47
"台北市","萬華區全德里",1242,1147636,924,639,369,1123,1457.45,157.73
"台北市","萬華區仁德里",1661,1899555,1144,662,350,1298,2034.14,177.87
"台北市","萬華區日善里",1073,852222,794,590,357,997,741.9,93.41
"台北市","萬華區日祥里",1599,1375592,860,585,366,1069,1015.64,118.06
"台北市","萬華區榮德里",945,684213,724,549,329,938,610.06,84.26
"台北市","萬華區壽德里",1558,1381357,887,617,359,1111,891.08,100.5
"台北市","萬華區雙園里",1449,1321287,912,620,368,1076,983.81,107.89
"台北市","萬華區糖廍里",6,2587,431,498,311,525,142.21,32.98
