"行政區域","縣市名稱","Ym","city","gen_sum"
"大安區龍生里","台北市",10505,"台北市",1482986
"大安區龍生里","台北市",10503,"台北市",1444650
"大安區龍生里","台北市",10507,"台北市",2063659
"大安區龍圖里","台北市",10505,"台北市",1866070
"大安區龍圖里","台北市",10511,"台北市",2256369
"大安區龍圖里","台北市",10509,"台北市",3069205
"大安區龍圖里","台北市",10507,"台北市",2590685
"大安區龍圖里","台北市",10501,"台北市",1649888
"大安區龍圖里","台北市",10503,"台北市",1782802
"大安區龍淵里","台北市",10511,"台北市",1811550
"大安區龍淵里","台北市",10503,"台北市",1448578
"大安區龍淵里","台北市",10509,"台北市",2491214
"大安區龍淵里","台北市",10501,"台北市",1360067
"大安區龍淵里","台北市",10507,"台北市",2150115
"大安區龍淵里","台北市",10505,"台北市",1519433
"大安區龍雲里","台北市",10509,"台北市",2153456
"大安區龍雲里","台北市",10505,"台北市",1832014
"大安區龍雲里","台北市",10501,"台北市",1558129
"大安區龍雲里","台北市",10503,"台北市",1423222
"大安區龍雲里","台北市",10511,"台北市",1561177
"大安區龍雲里","台北市",10507,"台北市",2454348
"大安區龍陣里","台北市",10511,"台北市",1429260
"大安區龍陣里","台北市",10501,"台北市",1034855
"大安區龍陣里","台北市",10509,"台北市",1989185
"大安區龍陣里","台北市",10505,"台北市",1166558
"大安區龍陣里","台北市",10507,"台北市",1623774
"大安區龍陣里","台北市",10503,"台北市",1099846
"大安區民輝里","台北市",10509,"台北市",4623007
"大安區民輝里","台北市",10503,"台北市",2700457
"大安區民輝里","台北市",10511,"台北市",3400457
"大安區民輝里","台北市",10505,"台北市",2804836
"大安區民輝里","台北市",10507,"台北市",4023822
"大安區民輝里","台北市",10501,"台北市",2404642
"大安區民炤里","台北市",10511,"台北市",2350669
"大安區民炤里","台北市",10501,"台北市",2179848
"大安區民炤里","台北市",10505,"台北市",2721791
"大安區民炤里","台北市",10503,"台北市",2465565
"大安區民炤里","台北市",10507,"台北市",4091048
"大安區民炤里","台北市",10509,"台北市",3586544
